index,englisch,link_wikipedia,text,midi,link_midi,flagge,0,1
Slowenien,Slovenia,https://de.wikipedia.org/wiki/Zdravljica,Slowenien.txt,slovenia.mid,https://www.midiworld.com/download/4160,nan_flag.png,Slovenia,100.0
Somalia,Somalia,https://de.wikipedia.org/wiki/Qolobaa_Calankeed,Somalia.txt,somalia.mid,,somalia_flag.png,Somalia,100.0
Spanien,Spain,https://de.wikipedia.org/wiki/Marcha_Real,Spanien.txt,spain.mid,https://www.midiworld.com/download/4163,nan_flag.png,Spain,100.0
Sri Lanka,Sri Lanka,https://de.wikipedia.org/wiki/Sri_Lanka_Matha,Sri Lanka.txt,sri lanka.mid,https://www.midiworld.com/download/4164,sri lanka_flag.png,Sri lanka,100.0
St. Kitts und Nevis,Saint Kitts and Nevis,https://de.wikipedia.org/wiki/Oh_Land_of_Beauty,St. Kitts und Nevis.txt,saint_kitts_und_nevis.mid,,nan_flag.png,,
St. Lucia,Saint Lucia,https://de.wikipedia.org/wiki/Sons_and_Daughters_of_St._Lucia,St. Lucia.txt,saint_lucia.mid,,nan_flag.png,,
St. Vincent und die Grenadinen,Saint Vincent and the Grenadines,https://de.wikipedia.org/wiki/St._Vincent_Land_So_Beautiful,St. Vincent und die Grenadinen.txt,saint_vincent_und_grenadinen.mid,,sao tome and principe_flag.png,,
Südafrika,South Africa,https://de.wikipedia.org/wiki/Nationalhymne_S%C3%BCdafrikas,Südafrika.txt,south africa.mid,https://www.midiworld.com/download/4161,south africa_flag.png,South africa,100.0
Sudan,Sudan,https://de.wikipedia.org/wiki/Nahnu_dschund_Allah_dschund_al-watan,Sudan.txt,sudan.mid,,sudan_flag.png,,
Südsudan,South Sudan,https://de.wikipedia.org/wiki/South_Sudan_Oyee!,Südsudan.txt,,,south-sudan_flag.png,,
Suriname,Suriname,https://de.wikipedia.org/wiki/God_zij_met_ons_Suriname,Suriname.txt,suriname.mid,https://www.midiworld.com/download/4167,nan_flag.png,Suriname,100.0
Swasiland,Swaziland,"https://de.wikipedia.org/wiki/Oh_God,_Bestower_of_the_Blessings_of_the_Swazi",Swasiland.txt,swazil.mid,https://www.midiworld.com/download/4168,swaziland_flag.png,Swazil,90.0
Syrien,Syria,https://de.wikipedia.org/wiki/Humat_ad-Diyar,Syrien.txt,syria.mid,https://www.midiworld.com/download/4171,syria_flag.png,Syria,100.0
Tadschikistan,Tajikistan,https://de.wikipedia.org/wiki/Surudi_Milli,Tadschikistan.txt,tajikist.mid,,tajikistan_flag.png,Tajikist,89.0
Tansania,Tanzania,https://de.wikipedia.org/wiki/Mungu_ibariki_Afrika,Tansania.txt,tanzania.mid,https://www.midiworld.com/download/4173,tanzania_flag.png,Tanzania,100.0
Thailand,Thailand,https://de.wikipedia.org/wiki/Phleng_Chat,Thailand.txt,thailand.mid,https://www.midiworld.com/download/4174,thailand_flag.png,Thailand,100.0
Togo,Togo,"https://de.wikipedia.org/wiki/Salut_%C3%A0_toi,_pays_de_nos_a%C3%AFeux",Togo.txt,togo.mid,,togo_flag.png,Togo,100.0
Tonga,Tonga,https://de.wikipedia.org/wiki/Koe_Fasi_Oe_Tui_Oe_Otu_Tonga,Tonga.txt,tonga.mid,https://www.midiworld.com/download/4175,nan_flag.png,Tonga,100.0
Trinidad und Tobago,Trinidad and Tobago,https://de.wikipedia.org/wiki/Forged_From_The_Love_of_Liberty,Trinidad und Tobago.txt,trinidad.mid,,nan_flag.png,Trinidad,90.0
Tschad,Chad,https://de.wikipedia.org/wiki/La_Tchadienne,Tschad.txt,chad.mid,,chad_flag.png,Chad,100.0
Tschechien,Czech Republic,https://de.wikipedia.org/wiki/Kde_domov_m%C5%AFj,Tschechien.txt,czech republic.mid,https://www.midiworld.com/download/4089,nan_flag.png,Czech republic,100.0
Tunesien,Tunisia,https://de.wikipedia.org/wiki/Humat_al-hima,Tunesien.txt,tunisia.mid,,tunisia_flag.png,Tunisia,100.0
Türkei,Turkey,https://de.wikipedia.org/wiki/%C4%B0stikl%C3%A2l_Mar%C5%9F%C4%B1,Türkei.txt,turkey.mid,https://www.midiworld.com/download/4176,turkey_flag.png,Turkey,100.0
Turkmenistan,Turkmenistan,https://de.wikipedia.org/wiki/Nationalhymne_Turkmenistans,Turkmenistan.txt,turkmenistan.mid,,turkmenistan_flag.png,,
Tuvalu,Tuvalu,https://de.wikipedia.org/wiki/Tuvaluische_Nationalhymne,Tuvalu.txt,tuvalu.mid,https://www.midiworld.com/download/4177,nan_flag.png,Tuvalu,100.0
Uganda,Uganda,"https://de.wikipedia.org/wiki/Oh_Uganda,_Land_of_Beauty",Uganda.txt,uganda.mid,https://www.midiworld.com/download/4178,uganda_flag.png,Uganda,100.0
Ukraine,Ukraine,https://de.wikipedia.org/wiki/Schtsche_ne_wmerla_Ukrajiny,Ukraine.txt,ukraine.mid,https://www.midiworld.com/download/4179,nan_flag.png,Ukraine,100.0
Ungarn,Hungary,https://de.wikipedia.org/wiki/Himnusz,Ungarn.txt,hungary.mid,https://www.midiworld.com/download/4110,nan_flag.png,Hungary,100.0
Uruguay,Uruguay,"https://de.wikipedia.org/wiki/Orientales,_la_Patria_o_la_tumba",Uruguay.txt,uruguay.mid,https://www.midiworld.com/download/4183,nan_flag.png,Uruguay,100.0
Usbekistan,Uzbekistan,https://de.wikipedia.org/wiki/Usbekische_Nationalhymne,Usbekistan.txt,uzbekistan.mid,https://www.midiworld.com/download/4184,uzbekistan_flag.png,Uzbekistan,100.0
Vanuatu,Vanuatu,"https://de.wikipedia.org/wiki/Yumi,_Yumi,_Yumi",Vanuatu.txt,vanuatu.mid,,nan_flag.png,Vanuatu,100.0
Vatikanstadt,Vatican City,https://de.wikipedia.org/wiki/Inno_e_Marcia_Pontificale,Vatikanstadt.txt,vatican.mid,,nan_flag.png,Vatican,90.0
Venezuela,Venezuela,https://de.wikipedia.org/wiki/Gloria_al_bravo_pueblo,Venezuela.txt,venezuel.mid,https://www.midiworld.com/download/4185,nan_flag.png,Venezuel,94.0
Vereinigte Arabische Emirate,United Arab Emirates,https://de.wikipedia.org/wiki/%CA%BF%C4%AAsch%C4%AB_bil%C4%81d%C4%AB,Vereinigte Arabische Emirate.txt,united-a.mid,https://www.midiworld.com/download/4180,united arab emirates_flag.png,United-a,90.0
Vereinigte Staaten,United States of America,https://de.wikipedia.org/wiki/The_Star-Spangled_Banner,Vereinigte Staaten.txt,united-s.mid,,dem rep of congo_flag.png,United-s,90.0
Vereinigtes Königreich,United Kingdom,https://de.wikipedia.org/wiki/God_Save_the_Queen,Vereinigtes Königreich.txt,united-k.mid,https://www.midiworld.com/download/4181,nan_flag.png,United-k,90.0
Vietnam,Vietnam,https://de.wikipedia.org/wiki/Ti%E1%BA%BFn_Qu%C3%A2n_Ca,Vietnam.txt,vietnam.mid,https://www.midiworld.com/download/4186,vietnam_flag.png,Vietnam,100.0
Weißrussland,Belarus,https://de.wikipedia.org/wiki/My_Belarusy,Weißrussland.txt,weissrussland.mid,,nan_flag.png,,
Zentralafrikanische Republik,Central African Republic,https://de.wikipedia.org/wiki/La_Renaissance,Zentralafrikanische Republik.txt,czech republic.mid,,central african rep_flag.png,Czech republic,86.0
Zypern,Cyprus,https://de.wikipedia.org/wiki/Ymnos_is_tin_Eleftherian,Zypern.txt,cyprus.mid,https://www.midiworld.com/download/4088,cyprus_flag.png,Cyprus,100.0
